City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Ozernovskiy,RU,51.5,156.5167,50.32,85,100,7.36,overcast clouds,2022-06-29 23:03:10
60,Ahuimanu,US,21.4447,-157.8378,81.86,71,75,16.11,light rain,2022-06-29 23:03:10
61,Hilo,US,19.7297,-155.09,85.28,87,33,7.0,scattered clouds,2022-06-29 23:02:30
62,Yuancheng,CN,36.652,107.7896,69.69,48,0,1.05,clear sky,2022-06-29 23:03:11
63,Airai,TL,-8.9266,125.4092,60.06,96,94,3.18,overcast clouds,2022-06-29 23:03:13
64,Eidsvoll,NO,60.3305,11.2616,61.57,83,0,0.0,clear sky,2022-06-29 23:03:13
65,Bluff,NZ,-46.6,168.3333,50.81,75,100,20.85,overcast clouds,2022-06-29 23:03:14
66,Saint George,US,37.1041,-113.5841,103.62,17,0,14.97,clear sky,2022-06-29 23:00:34
67,Mao,ES,39.8885,4.2658,72.16,88,0,5.75,clear sky,2022-06-29 23:03:15
68,Samarai,PG,-10.6167,150.6667,82.0,81,63,14.34,broken clouds,2022-06-29 23:03:15
69,Bamut,RU,43.1599,45.1973,65.71,77,37,4.45,scattered clouds,2022-06-29 23:03:16
70,Soe,ID,-9.8607,124.284,66.04,98,99,3.65,overcast clouds,2022-06-29 23:03:17
71,Sorkjosen,NO,69.8,20.9333,57.2,94,100,3.44,overcast clouds,2022-06-29 23:03:17
72,Mehamn,NO,71.0357,27.8492,58.95,82,70,13.8,broken clouds,2022-06-29 23:03:18
73,Humaita,BR,-7.5061,-63.0208,78.35,53,65,3.04,broken clouds,2022-06-29 23:03:19
74,Qaanaaq,GL,77.484,-69.3632,46.98,49,10,1.59,clear sky,2022-06-29 23:03:19
75,Nouadhibou,MR,20.931,-17.0347,68.97,79,0,24.0,clear sky,2022-06-29 23:03:20
76,Clyde River,CA,70.4692,-68.5914,38.07,85,28,4.72,scattered clouds,2022-06-29 23:03:21
77,Lebu,CL,-37.6167,-73.65,49.26,86,10,1.5,clear sky,2022-06-29 23:02:12
78,Barrow,US,71.2906,-156.7887,48.22,81,75,12.66,broken clouds,2022-06-29 23:03:22
79,Mar Del Plata,AR,-38.0023,-57.5575,54.09,83,100,7.0,light rain,2022-06-29 23:03:22
80,Saint Anthony,US,45.0205,-93.218,90.14,47,0,18.41,clear sky,2022-06-29 23:03:23
81,Korla,CN,41.7597,86.1469,80.01,32,4,6.22,clear sky,2022-06-29 23:00:31
82,Lusambo,CD,-4.9667,23.45,68.63,52,44,2.35,scattered clouds,2022-06-29 23:03:24
83,Ketchikan,US,55.3422,-131.6461,64.87,68,40,11.5,scattered clouds,2022-06-29 23:03:25
84,Faanui,PF,-16.4833,-151.75,79.88,68,10,18.63,clear sky,2022-06-29 23:03:25
85,Limoux,FR,42.9167,2.1667,66.54,79,9,5.35,light rain,2022-06-29 23:03:26
86,Kodiak,US,57.79,-152.4072,60.12,75,59,6.49,broken clouds,2022-06-29 23:01:39
87,Talnakh,RU,69.4865,88.3972,52.21,45,96,5.97,overcast clouds,2022-06-29 23:03:27
88,Ust-Karsk,RU,52.7011,118.8077,77.79,56,17,1.03,few clouds,2022-06-29 23:03:27
89,Batemans Bay,AU,-35.7167,150.1833,49.1,68,100,2.35,overcast clouds,2022-06-29 23:01:14
90,Sal Rei,CV,16.1833,-22.9167,72.18,81,44,17.52,scattered clouds,2022-06-29 23:03:28
91,Nikolskoye,RU,59.7035,30.7861,60.69,64,0,3.33,clear sky,2022-06-29 23:03:28
92,Hay River,CA,60.8156,-115.7999,55.76,50,4,7.67,clear sky,2022-06-29 23:04:29
93,New Norfolk,AU,-42.7826,147.0587,46.71,76,66,1.99,broken clouds,2022-06-29 23:04:29
94,Butaritari,KI,3.0707,172.7902,80.76,78,100,14.74,overcast clouds,2022-06-29 23:04:30
95,Okato,NZ,-39.2,173.8833,58.91,100,29,14.12,scattered clouds,2022-06-29 23:04:30
96,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,76,0,2.1,clear sky,2022-06-29 23:04:30
97,Kahului,US,20.8947,-156.47,87.82,60,40,26.46,scattered clouds,2022-06-29 23:04:31
98,Dryden,CA,49.7833,-92.7503,63.82,67,94,13.2,overcast clouds,2022-06-29 23:04:31
99,Port Macquarie,AU,-31.4333,152.9167,55.89,65,77,5.5,broken clouds,2022-06-29 23:04:32
100,Laguna,US,38.421,-121.4238,100.31,24,0,10.36,clear sky,2022-06-29 23:04:33
101,Hofn,IS,64.2539,-15.2082,50.34,91,66,4.99,moderate rain,2022-06-29 23:04:33
102,Talara,PE,-4.5772,-81.2719,66.96,77,75,17.27,broken clouds,2022-06-29 23:04:33
103,Tazovskiy,RU,67.4667,78.7,47.98,59,98,16.02,overcast clouds,2022-06-29 23:04:34
104,Eganville,CA,45.5334,-77.0994,69.51,80,36,3.69,scattered clouds,2022-06-29 23:04:34
105,Urbana,US,40.1106,-88.2073,86.09,45,3,10.0,clear sky,2022-06-29 23:00:25
106,Pisco,PE,-13.7,-76.2167,62.65,77,0,14.97,clear sky,2022-06-29 23:04:35
107,Hambantota,LK,6.1241,81.1185,79.81,80,86,16.84,overcast clouds,2022-06-29 23:04:35
108,Bonfim,BR,3.0833,-59.95,75.22,90,92,3.44,overcast clouds,2022-06-29 23:04:36
109,Sangar,RU,63.9242,127.4739,59.7,75,100,5.06,overcast clouds,2022-06-29 23:04:36
110,Shatki,RU,55.1887,44.1249,48.92,74,14,6.02,few clouds,2022-06-29 23:04:37
111,Mananjary,MG,-21.2167,48.3333,65.82,88,99,3.67,light rain,2022-06-29 23:04:37
112,Neyshabur,IR,36.2133,58.7958,82.29,26,0,1.07,clear sky,2022-06-29 23:04:38
