City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Margate,GB,2022-06-29 20:27:36,51.3813,1.3862,60.87,85,99,3.0
69,Shingu,JP,2022-06-29 20:22:45,33.7333,135.9833,72.95,93,12,6.38
70,Port Elizabeth,ZA,2022-06-29 20:24:36,-33.918,25.5701,52.09,62,0,4.61
71,Sabancuy,MX,2022-06-29 20:27:37,18.9667,-91.1833,89.58,55,9,8.48
72,Punta Arenas,CL,2022-06-29 20:24:50,-53.15,-70.9167,37.51,81,40,18.41
73,Bredasdorp,ZA,2022-06-29 20:27:38,-34.5322,20.0403,58.78,58,43,3.58
74,Mahebourg,MU,2022-06-29 20:27:38,-20.4081,57.7,68.29,64,20,4.61
75,Pevek,RU,2022-06-29 20:27:39,69.7008,170.3133,34.86,94,100,13.76
76,Tual,ID,2022-06-29 20:27:39,-5.6667,132.75,80.76,79,48,10.6
77,Klaksvik,FO,2022-06-29 20:27:40,62.2266,-6.589,52.72,99,98,15.14
78,Sao Filipe,CV,2022-06-29 20:27:40,14.8961,-24.4956,74.37,74,88,13.42
79,Touros,BR,2022-06-29 20:27:40,-5.1989,-35.4608,78.62,81,97,13.15
80,Charlestown,AU,2022-06-29 20:27:41,-32.95,151.6667,54.41,81,100,1.99
81,Bubaque,GW,2022-06-29 20:27:41,11.2833,-15.8333,80.55,80,39,10.54
82,Cabo San Lucas,MX,2022-06-29 20:26:42,22.8909,-109.9124,92.61,59,0,11.5
83,Atuona,PF,2022-06-29 20:27:42,-9.8,-139.0333,77.36,81,23,21.07
84,Richards Bay,ZA,2022-06-29 20:27:17,-28.783,32.0377,60.75,65,83,3.85
85,Puerto Ayora,EC,2022-06-29 20:27:42,-0.7393,-90.3518,76.96,91,82,8.99
86,Cururupu,BR,2022-06-29 20:24:22,-1.8283,-44.8683,81.5,74,23,6.13
87,Imbituba,BR,2022-06-29 20:27:43,-28.24,-48.6703,60.13,65,13,8.61
88,Upernavik,GL,2022-06-29 20:27:43,72.7868,-56.1549,35.1,89,99,8.61
89,Chernyshevskiy,RU,2022-06-29 20:27:44,63.0128,112.4714,57.16,74,100,2.57
90,Altay,CN,2022-06-29 20:27:44,47.8667,88.1167,66.99,28,58,7.14
91,Palauig,PH,2022-06-29 20:27:44,15.435,119.9045,79.54,85,100,15.84
92,Srednekolymsk,RU,2022-06-29 20:27:45,67.45,153.6833,49.08,68,66,6.24
93,Nikolskoye,RU,2022-06-29 20:28:45,59.7035,30.7861,64.29,62,0,4.32
94,Praia,CV,2022-06-29 20:26:49,14.9215,-23.5087,75.74,73,20,16.11
95,Leningradskiy,RU,2022-06-29 20:28:46,69.3833,178.4167,41.63,87,85,7.38
96,Tirumullaivasal,IN,2022-06-29 20:28:46,11.2333,79.8333,84.0,68,97,11.68
97,Lebu,CL,2022-06-29 20:28:47,-37.6167,-73.65,52.21,79,3,6.08
98,Severo-Kurilsk,RU,2022-06-29 20:28:47,50.6789,156.125,47.32,91,100,8.19
99,Puma,TZ,2022-06-29 20:28:48,-5.0,34.7333,59.04,70,54,11.05
100,Victoria,HK,2022-06-29 20:28:48,22.2855,114.1577,82.96,91,72,7.0
101,Tessalit,ML,2022-06-29 20:28:49,20.1986,1.0114,100.87,9,8,5.73
102,Conakry,GN,2022-06-29 20:28:49,9.538,-13.6773,82.47,78,20,11.5
103,Luderitz,NA,2022-06-29 20:28:49,-26.6481,15.1594,69.8,39,0,11.18
104,Necochea,AR,2022-06-29 20:28:50,-38.5473,-58.7368,56.73,60,100,16.93
105,Pampa,US,2022-06-29 20:28:50,35.5362,-100.9599,95.58,35,40,13.8
106,Naze,JP,2022-06-29 20:28:51,28.3667,129.4833,77.92,86,76,10.78
107,Channel-Port Aux Basques,CA,2022-06-29 20:28:51,47.5702,-59.1367,60.91,87,79,8.81
108,Dikson,RU,2022-06-29 20:28:52,73.5069,80.5464,32.59,97,100,11.16
109,Chokwe,MZ,2022-06-29 20:28:52,-24.5333,32.9833,59.07,79,5,4.41
110,Seoul,KR,2022-06-29 20:27:05,37.5683,126.9778,71.2,94,100,4.61
111,Mountain Home,US,2022-06-29 20:24:00,43.133,-115.6912,81.88,15,0,12.66
112,Roald,NO,2022-06-29 20:28:53,62.5833,6.1333,68.16,82,0,6.91
113,Huangchuan,CN,2022-06-29 20:28:53,32.1272,115.0394,77.56,87,2,3.15
114,Mafinga,TZ,2022-06-29 20:28:54,-7.25,35.0667,67.53,52,95,5.01
115,Vostok,RU,2022-06-29 20:28:54,46.4856,135.8833,58.91,92,100,2.95
116,Arman,RU,2022-06-29 20:28:55,59.7,150.1667,52.03,88,100,2.13
117,North Platte,US,2022-06-29 20:28:55,41.1239,-100.7654,100.29,20,0,16.11
118,Mao,ES,2022-06-29 20:28:55,39.8885,4.2658,73.96,83,0,3.44
119,Torbay,CA,2022-06-29 20:28:56,47.6666,-52.7314,72.75,89,75,12.66
120,Pingliang,CN,2022-06-29 20:28:56,35.5392,106.6861,64.65,49,1,1.7
121,Barrow,US,2022-06-29 20:25:41,71.2906,-156.7887,51.82,76,100,25.32
122,Moba,CN,2022-06-29 20:28:57,33.2288,105.0179,58.96,65,95,3.22
123,Qaanaaq,GL,2022-06-29 20:28:57,77.484,-69.3632,46.89,50,12,3.27
124,Talnakh,RU,2022-06-29 20:28:58,69.4865,88.3972,54.21,50,100,9.1
125,Hualmay,PE,2022-06-29 20:28:58,-11.0964,-77.6139,67.21,67,2,8.5
126,Lagoa,PT,2022-06-29 20:28:59,39.05,-27.9833,65.52,77,0,4.16
127,Magadi,IN,2022-06-29 20:28:59,12.9667,77.2333,75.45,87,99,11.25
128,Hong Gai,VN,2022-06-29 20:29:00,20.956,107.0946,84.11,88,100,4.99
129,Ordzhonikidze,KZ,2022-06-29 20:29:00,52.4411,61.7408,45.25,88,9,7.45
130,Vila Velha,BR,2022-06-29 20:29:01,-20.3297,-40.2925,75.15,78,0,12.66
